Year,Population,Metro
2010,72882,"Aberdeen, WA Micro Area"
2010,164941,"Abilene, TX Metro Area"
2010,99763,"Adrian, MI Micro Area"
2010,305988,"Aguadilla-Isabela-San Sebasti?n, PR Metro Area"
2010,702951,"Akron, OH Metro Area"
2010,162659,"Albany, GA Metro Area"
2010,116910,"Albany-Lebanon, OR Micro Area"
2010,870832,"Albany-Schenectady-Troy, NY Metro Area"
2010,93235,"Albertville, AL Micro Area"
2010,892014,"Albuquerque, NM Metro Area"
2010,154120,"Alexandria, LA Metro Area"
2010,111503,"Allegan, MI Micro Area"
2010,822141,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
2010,127031,"Altoona, PA Metro Area"
2010,251915,"Amarillo, TX Metro Area"
2010,89575,"Ames, IA Metro Area"
2010,382964,"Anchorage, AK Metro Area"
2010,131642,"Anderson, IN Metro Area"
2010,187269,"Anderson, SC Metro Area"
2010,345290,"Ann Arbor, MI Metro Area"
2010,118510,"Anniston-Oxford, AL Metro Area"
2010,225952,"Appleton, WI Metro Area"
2010,422752,"Asheville, NC Metro Area"
2010,101429,"Ashtabula, OH Micro Area"
2010,78647,"Athens, TX Micro Area"
2010,192738,"Athens-Clarke County, GA Metro Area"
2010,5288302,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
2010,274685,"Atlantic City-Hammonton, NJ Metro Area"
2010,79978,"Auburn, NY Micro Area"
2010,140780,"Auburn-Opelika, AL Metro Area"
2010,560293,"Augusta-Richmond County, GA-SC Metro Area"
2010,122143,"Augusta-Waterville, ME Micro Area"
2010,1728307,"Austin-Round Rock-San Marcos, TX Metro Area"
2010,842207,"Bakersfield-Delano, CA Metro Area"
2010,2714183,"Baltimore-Towson, MD Metro Area"
2010,153849,"Bangor, ME Metro Area"
2010,215937,"Barnstable Town, MA Metro Area"
2010,804406,"Baton Rouge, LA Metro Area"
2010,136072,"Battle Creek, MI Metro Area"
2010,107703,"Bay City, MI Metro Area"
2010,389068,"Beaumont-Port Arthur, TX Metro Area"
2010,88748,"Beaver Dam, WI Micro Area"
2010,78904,"Beckley, WV Micro Area"
2010,201628,"Bellingham, WA Metro Area"
2010,157894,"Bend, OR Metro Area"
2010,157365,"Billings, MT Metro Area"
2010,251321,"Binghamton, NY Metro Area"
2010,1128978,"Birmingham-Hoover, AL Metro Area"
2010,109266,"Bismarck, ND Metro Area"
2010,161768,"Blacksburg-Christiansburg-Radford, VA Metro Area"
2010,192696,"Bloomington, IN Metro Area"
2010,169832,"Bloomington-Normal, IL Metro Area"
2010,85554,"Bloomsburg-Berwick, PA Micro Area"
2010,107360,"Bluefield, WV-VA Micro Area"
2010,619694,"Boise City-Nampa, ID Metro Area"
2010,4560689,"Boston-Cambridge-Quincy, MA-NH Metro Area"
2010,295166,"Boulder, CO Metro Area"
2010,127280,"Bowling Green, KY Metro Area"
2010,89658,"Bozeman, MT Micro Area"
2010,91146,"Brainerd, MN Micro Area"
2010,84065,"Branson, MO Micro Area"
2010,251809,"Bremerton-Silverdale, WA Metro Area"
2010,918714,"Bridgeport-Stamford-Norwalk, CT Metro Area"
2010,408054,"Brownsville-Harlingen, TX Metro Area"
2010,107890,"Brunswick, GA Metro Area"
2010,1135198,"Buffalo-Niagara Falls, NY Metro Area"
2010,151528,"Burlington, NC Metro Area"
2010,211035,"Burlington-South Burlington, VT Metro Area"
2010,403238,"Canton-Massillon, OH Metro Area"
2010,620151,"Cape Coral-Fort Myers, FL Metro Area"
2010,98062,"Cape Girardeau-Jackson, MO-IL Metro Area"
2010,55226,"Carson City, NV Metro Area"
2010,75507,"Casper, WY Metro Area"
2010,258223,"Cedar Rapids, IA Metro Area"
2010,75487,"Centralia, WA Micro Area"
2010,149834,"Chambersburg, PA Micro Area"
2010,234445,"Champaign-Urbana, IL Metro Area"
2010,304571,"Charleston, WV Metro Area"
2010,667741,"Charleston-North Charleston-Summerville, SC Metro Area"
2010,1764313,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area"
2010,199776,"Charlottesville, VA Metro Area"
2010,530205,"Chattanooga, TN-GA Metro Area"
2010,92127,"Cheyenne, WY Metro Area"
2010,9474211,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area"
2010,220072,"Chico, CA Metro Area"
2010,78090,"Chillicothe, OH Micro Area"
2010,2133203,"Cincinnati-Middletown, OH-KY-IN Metro Area"
2010,95616,"Clarksburg, WV Micro Area"
2010,274695,"Clarksville, TN-KY Metro Area"
2010,64771,"Clearlake, CA Micro Area"
2010,115716,"Cleveland, TN Metro Area"
2010,2075758,"Cleveland-Elyria-Mentor, OH Metro Area"
2010,71492,"Coamo, PR Micro Area"
2010,138901,"Coeur d'Alene, ID Metro Area"
2010,230141,"College Station-Bryan, TX Metro Area"
2010,648943,"Colorado Springs, CO Metro Area"
2010,172319,"Columbia, MO Metro Area"
2010,770410,"Columbia, SC Metro Area"
2010,81141,"Columbia, TN Micro Area"
2010,292141,"Columbus, GA-AL Metro Area"
2010,76855,"Columbus, IN Metro Area"
2010,1840631,"Columbus, OH Metro Area"
2010,146400,"Concord, NH Micro Area"
2010,105761,"Cookeville, TN Micro Area"
2010,63025,"Coos Bay, OR Micro Area"
2010,98930,"Corning, NY Micro Area"
2010,428217,"Corpus Christi, TX Metro Area"
2010,85575,"Corvallis, OR Metro Area"
2010,180728,"Crestview-Fort Walton Beach-Destin, FL Metro Area"
2010,80459,"Cullman, AL Micro Area"
2010,103239,"Cumberland, MD-WV Metro Area"
2010,6402922,"Dallas-Fort Worth-Arlington, TX Metro Area"
2010,142493,"Dalton, GA Metro Area"
2010,81551,"Danville, IL Metro Area"
2010,106416,"Danville, VA Metro Area"
2010,183195,"Daphne-Fairhope-Foley, AL Micro Area"
2010,382382,"Davenport-Moline-Rock Island, IA-IL Metro Area"
2010,841310,"Dayton, OH Metro Area"
2010,153968,"Decatur, AL Metro Area"
2010,110715,"Decatur, IL Metro Area"
2010,494527,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
2010,2560529,"Denver-Aurora-Broomfield, CO Metro Area"
2010,570358,"Des Moines-West Des Moines, IA Metro Area"
2010,4291843,"Detroit-Warren-Livonia, MI Metro Area"
2010,146010,"Dothan, AL Metro Area"
2010,162912,"Dover, DE Metro Area"
2010,81562,"DuBois, PA Micro Area"
2010,93880,"Dubuque, IA Metro Area"
2010,280035,"Duluth, MN-WI Metro Area"
2010,115733,"Dunn, NC Micro Area"
2010,505933,"Durham-Chapel Hill, NC Metro Area"
2010,107800,"East Liverpool-Salem, OH Micro Area"
2010,169896,"East Stroudsburg, PA Micro Area"
2010,161443,"Eau Claire, WI Metro Area"
2010,175234,"El Centro, CA Metro Area"
2010,122347,"Elizabethtown, KY Metro Area"
2010,197646,"Elkhart-Goshen, IN Metro Area"
2010,88824,"Elmira, NY Metro Area"
2010,804338,"El Paso, TX Metro Area"
2010,100462,"Enterprise-Ozark, AL Micro Area"
2010,280686,"Erie, PA Metro Area"
2010,351983,"Eugene-Springfield, OR Metro Area"
2010,134794,"Eureka-Arcata-Fortuna, CA Micro Area"
2010,357948,"Evansville, IN-KY Metro Area"
2010,98314,"Fairbanks, AK Metro Area"
2010,70629,"Fajardo, PR Metro Area"
2010,209144,"Fargo, ND-MN Metro Area"
2010,65498,"Farmington, MO Micro Area"
2010,130145,"Farmington, NM Metro Area"
2010,367733,"Fayetteville, NC Metro Area"
2010,465780,"Fayetteville-Springdale-Rogers, AR-MO Metro Area"
2010,74727,"Findlay, OH Micro Area"
2010,134651,"Flagstaff, AZ Metro Area"
2010,424926,"Flint, MI Metro Area"
2010,205705,"Florence, SC Metro Area"
2010,147112,"Florence-Muscle Shoals, AL Metro Area"
2010,101665,"Fond du Lac, WI Metro Area"
2010,67772,"Forest City, NC Micro Area"
2010,300637,"Fort Collins-Loveland, CO Metro Area"
2010,71151,"Fort Payne, AL Micro Area"
2010,299749,"Fort Smith, AR-OK Metro Area"
2010,415013,"Fort Wayne, IN Metro Area"
2010,70753,"Frankfort, KY Micro Area"
2010,933248,"Fresno, CA Metro Area"
2010,104462,"Gadsden, AL Metro Area"
2010,266321,"Gainesville, FL Metro Area"
2010,180253,"Gainesville, GA Metro Area"
2010,69183,"Galesburg, IL Micro Area"
2010,71797,"Gallup, NM Micro Area"
2010,101485,"Gettysburg, PA Micro Area"
2010,128985,"Glens Falls, NY Metro Area"
2010,122907,"Goldsboro, NC Metro Area"
2010,99586,"Grand Forks, ND-MN Metro Area"
2010,72905,"Grand Island, NE Micro Area"
2010,146313,"Grand Junction, CO Metro Area"
2010,774540,"Grand Rapids-Wyoming, MI Metro Area"
2010,82807,"Grants Pass, OR Micro Area"
2010,81519,"Great Falls, MT Metro Area"
2010,254270,"Greeley, CO Metro Area"
2010,306730,"Green Bay, WI Metro Area"
2010,68797,"Greeneville, TN Micro Area"
2010,725282,"Greensboro-High Point, NC Metro Area"
2010,190201,"Greenville, NC Metro Area"
2010,638576,"Greenville-Mauldin-Easley, SC Metro Area"
2010,69703,"Greenwood, SC Micro Area"
2010,84040,"Guayama, PR Metro Area"
2010,250196,"Gulfport-Biloxi, MS Metro Area"
2010,267239,"Hagerstown-Martinsburg, MD-WV Metro Area"
2010,121425,"Hammond, LA Micro Area"
2010,153174,"Hanford-Corcoran, CA Metro Area"
2010,550076,"Harrisburg-Carlisle, PA Metro Area"
2010,125454,"Harrisonburg, VA Metro Area"
2010,1212956,"Hartford-West Hartford-East Hartford, CT Metro Area"
2010,146199,"Hattiesburg, MS Metro Area"
2010,71066,"Helena, MT Micro Area"
2010,365397,"Hickory-Lenoir-Morganton, NC Metro Area"
2010,185406,"Hilo, HI Micro Area"
2010,187928,"Hilton Head Island-Beaufort, SC Micro Area"
2010,74778,"Hinesville-Fort Stewart, GA Metro Area"
2010,264055,"Holland-Grand Haven, MI Metro Area"
2010,141129,"Homosassa Springs, FL Micro Area"
2010,955775,"Honolulu, HI Metro Area"
2010,96145,"Hot Springs, AR Metro Area"
2010,208189,"Houma-Bayou Cane-Thibodaux, LA Metro Area"
2010,5977092,"Houston-Sugar Land-Baytown, TX Metro Area"
2010,287611,"Huntington-Ashland, WV-KY-OH Metro Area"
2010,419181,"Huntsville, AL Metro Area"
2010,68185,"Huntsville, TX Micro Area"
2010,65741,"Hutchinson, KS Micro Area"
2010,132610,"Idaho Falls, ID Metro Area"
2010,88847,"Indiana, PA Micro Area"
2010,1759229,"Indianapolis-Carmel, IN Metro Area"
2010,152918,"Iowa City, IA Metro Area"
2010,101620,"Ithaca, NY Metro Area"
2010,160201,"Jackson, MI Metro Area"
2010,540140,"Jackson, MS Metro Area"
2010,114241,"Jackson, TN Metro Area"
2010,1350198,"Jacksonville, FL Metro Area"
2010,179471,"Jacksonville, NC Metro Area"
2010,134768,"Jamestown-Dunkirk-Fredonia, NY Micro Area"
2010,160310,"Janesville, WI Metro Area"
2010,149872,"Jefferson City, MO Metro Area"
2010,198974,"Johnson City, TN Metro Area"
2010,143498,"Johnstown, PA Metro Area"
2010,120365,"Jonesboro, AR Metro Area"
2010,175887,"Joplin, MO Metro Area"
2010,155170,"Kahului-Wailuku, HI Micro Area"
2010,326924,"Kalamazoo-Portage, MI Metro Area"
2010,90901,"Kalispell, MT Micro Area"
2010,113502,"Kankakee-Bradley, IL Metro Area"
2010,2035747,"Kansas City, MO-KS Metro Area"
2010,67226,"Kapaa, HI Micro Area"
2010,77049,"Keene, NH Micro Area"
2010,255678,"Kennewick-Pasco-Richland, WA Metro Area"
2010,73269,"Key West, FL Micro Area"
2010,408366,"Killeen-Temple-Fort Hood, TX Metro Area"
2010,310695,"Kingsport-Bristol-Bristol, TN-VA Metro Area"
2010,182435,"Kingston, NY Metro Area"
2010,64723,"Klamath Falls, OR Micro Area"
2010,699180,"Knoxville, TN Metro Area"
2010,100485,"Kokomo, IN Metro Area"
2010,133896,"La Crosse, WI-MN Metro Area"
2010,202782,"Lafayette, IN Metro Area"
2010,274265,"Lafayette, LA Metro Area"
2010,67187,"LaGrange, GA Micro Area"
2010,198628,"Lake Charles, LA Metro Area"
2010,67597,"Lake City, FL Micro Area"
2010,200181,"Lake Havasu City-Kingman, AZ Metro Area"
2010,602788,"Lakeland-Winter Haven, FL Metro Area"
2010,520156,"Lancaster, PA Metro Area"
2010,76889,"Lancaster, SC Micro Area"
2010,464076,"Lansing-East Lansing, MI Metro Area"
2010,251632,"Laredo, TX Metro Area"
2010,210538,"Las Cruces, NM Metro Area"
2010,1954260,"Las Vegas-Paradise, NV Metro Area"
2010,82589,"Laurel, MS Micro Area"
2010,111130,"Lawrence, KS Metro Area"
2010,125368,"Lawton, OK Metro Area"
2010,174690,"Lebanon, NH-VT Micro Area"
2010,133688,"Lebanon, PA Metro Area"
2010,60946,"Lewiston, ID-WA Metro Area"
2010,107623,"Lewiston-Auburn, ME Metro Area"
2010,473547,"Lexington-Fayette, KY Metro Area"
2010,105786,"Lexington Park, MD Micro Area"
2010,106205,"Lima, OH Metro Area"
2010,303151,"Lincoln, NE Metro Area"
2010,78450,"Lincolnton, NC Micro Area"
2010,701713,"Little Rock-North Little Rock-Conway, AR Metro Area"
2010,125791,"Logan, UT-ID Metro Area"
2010,214602,"Longview, TX Metro Area"
2010,102501,"Longview, WA Metro Area"
2010,12849383,"Los Angeles-Long Beach-Santa Ana, CA Metro Area"
2010,1287271,"Louisville/Jefferson County, KY-IN Metro Area"
2010,288462,"Lubbock, TX Metro Area"
2010,86953,"Lufkin, TX Micro Area"
2010,134473,"Lumberton, NC Micro Area"
2010,251016,"Lynchburg, VA Metro Area"
2010,227880,"Macon, GA Metro Area"
2010,151408,"Madera-Chowchilla, CA Metro Area"
2010,569923,"Madison, WI Metro Area"
2010,401057,"Manchester-Nashua, NH Metro Area"
2010,127880,"Manhattan, KS Metro Area"
2010,81349,"Manitowoc, WI Micro Area"
2010,96878,"Mankato-North Mankato, MN Metro Area"
2010,124177,"Mansfield, OH Metro Area"
2010,66547,"Marinette, WI-MI Micro Area"
2010,69975,"Marion, IN Micro Area"
2010,66482,"Marion, OH Micro Area"
2010,66369,"Marion-Herrin, IL Micro Area"
2010,67131,"Marquette, MI Micro Area"
2010,65766,"Marshall, TX Micro Area"
2010,74793,"Marshfield-Wisconsin Rapids, WI Micro Area"
2010,65465,"Martinsville, VA Micro Area"
2010,105538,"Mayag?ez, PR Metro Area"
2010,780087,"McAllen-Edinburg-Mission, TX Metro Area"
2010,88657,"Meadville, PA Micro Area"
2010,203462,"Medford, OR Metro Area"
2010,1316579,"Memphis, TN-MS-AR Metro Area"
2010,256778,"Merced, CA Metro Area"
2010,109828,"Meridian, MS Micro Area"
2010,5582351,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area"
2010,111465,"Michigan City-La Porte, IN Metro Area"
2010,83592,"Midland, MI Micro Area"
2010,136975,"Midland, TX Metro Area"
2010,1557244,"Milwaukee-Waukesha-West Allis, WI Metro Area"
2010,3286195,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"
2010,69975,"Minot, ND Micro Area"
2010,109494,"Missoula, MT Metro Area"
2010,413277,"Mobile, AL Metro Area"
2010,515358,"Modesto, CA Metro Area"
2010,176664,"Monroe, LA Metro Area"
2010,151932,"Monroe, MI Metro Area"
2010,376208,"Montgomery, AL Metro Area"
2010,66685,"Morehead City, NC Micro Area"
2010,130288,"Morgantown, WV Metro Area"
2010,136787,"Morristown, TN Metro Area"
2010,89744,"Moses Lake, WA Micro Area"
2010,73694,"Mount Airy, NC Micro Area"
2010,70334,"Mount Pleasant, MI Micro Area"
2010,117102,"Mount Vernon-Anacortes, WA Metro Area"
2010,117669,"Muncie, IN Metro Area"
2010,172068,"Muskegon-Norton Shores, MI Metro Area"
2010,71110,"Muskogee, OK Micro Area"
2010,270430,"Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area"
2010,136858,"Napa, CA Metro Area"
2010,322472,"Naples-Marco Island, FL Metro Area"
2010,1593050,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
2010,127759,"New Bern, NC Micro Area"
2010,90968,"New Castle, PA Micro Area"
2010,862989,"New Haven-Milford, CT Metro Area"
2010,73236,"New Iberia, LA Micro Area"
2010,1173327,"New Orleans-Metairie-Kenner, LA Metro Area"
2010,92542,"New Philadelphia-Dover, OH Micro Area"
2010,18919983,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area"
2010,156805,"Niles-Benton Harbor, MI Metro Area"
2010,703309,"North Port-Bradenton-Sarasota, FL Metro Area"
2010,69287,"North Wilkesboro, NC Micro Area"
2010,274055,"Norwich-New London, CT Metro Area"
2010,78681,"Oak Harbor, WA Micro Area"
2010,331290,"Ocala, FL Metro Area"
2010,97253,"Ocean City, NJ Metro Area"
2010,137145,"Odessa, TX Metro Area"
2010,551173,"Ogden-Clearfield, UT Metro Area"
2010,111894,"Ogdensburg-Massena, NY Micro Area"
2010,1257845,"Oklahoma City, OK Metro Area"
2010,80229,"Olean, NY Micro Area"
2010,253087,"Olympia, WA Metro Area"
2010,868238,"Omaha-Council Bluffs, NE-IA Metro Area"
2010,83454,"Opelousas-Eunice, LA Micro Area"
2010,92346,"Orangeburg, SC Micro Area"
2010,2140795,"Orlando-Kissimmee-Sanford, FL Metro Area"
2010,167059,"Oshkosh-Neenah, WI Metro Area"
2010,155212,"Ottawa-Streator, IL Micro Area"
2010,115857,"Owensboro, KY Metro Area"
2010,70606,"Owosso, MI Micro Area"
2010,825706,"Oxnard-Thousand Oaks-Ventura, CA Metro Area"
2010,97379,"Paducah, KY-IL Micro Area"
2010,74262,"Palatka, FL Micro Area"
2010,543573,"Palm Bay-Melbourne-Titusville, FL Metro Area"
2010,95928,"Palm Coast, FL Metro Area"
2010,169272,"Panama City-Lynn Haven-Panama City Beach, FL Metro Area"
2010,162723,"Parkersburg-Marietta-Vienna, WV-OH Metro Area"
2010,162384,"Pascagoula, MS Metro Area"
2010,86852,"Pendleton-Hermiston, OR Micro Area"
2010,450009,"Pensacola-Ferry Pass-Brent, FL Metro Area"
2010,378712,"Peoria, IL Metro Area"
2010,5971483,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
2010,4211213,"Phoenix-Mesa-Glendale, AZ Metro Area"
2010,99871,"Pine Bluff, AR Metro Area"
2010,2356381,"Pittsburgh, PA Metro Area"
2010,131144,"Pittsfield, MA Metro Area"
2010,82115,"Plattsburgh, NY Micro Area"
2010,90438,"Pocatello, ID Metro Area"
2010,242874,"Ponce, PR Metro Area"
2010,71515,"Port Angeles, WA Micro Area"
2010,513899,"Portland-South Portland-Biddeford, ME Metro Area"
2010,2232496,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"
2010,425082,"Port St. Lucie, FL Metro Area"
2010,79506,"Portsmouth, OH Micro Area"
2010,148228,"Pottsville, PA Micro Area"
2010,670932,"Poughkeepsie-Newburgh-Middletown, NY Metro Area"
2010,211061,"Prescott, AZ Metro Area"
2010,1601498,"Providence-New Bedford-Fall River, RI-MA Metro Area"
2010,529970,"Provo-Orem, UT Metro Area"
2010,159477,"Pueblo, CO Metro Area"
2010,159990,"Punta Gorda, FL Metro Area"
2010,76378,"Quincy, IL-MO Micro Area"
2010,195510,"Racine, WI Metro Area"
2010,1137552,"Raleigh-Cary, NC Metro Area"
2010,126802,"Rapid City, SD Metro Area"
2010,411850,"Reading, PA Metro Area"
2010,177291,"Redding, CA Metro Area"
2010,426448,"Reno-Sparks, NV Metro Area"
2010,68853,"Richmond, IN Micro Area"
2010,1261317,"Richmond, VA Metro Area"
2010,99772,"Richmond-Berea, KY Micro Area"
2010,4245773,"Riverside-San Bernardino-Ontario, CA Metro Area"
2010,308893,"Roanoke, VA Metro Area"
2010,76602,"Roanoke Rapids, NC Micro Area"
2010,186302,"Rochester, MN Metro Area"
2010,1054445,"Rochester, NY Metro Area"
2010,349287,"Rockford, IL Metro Area"
2010,152477,"Rocky Mount, NC Metro Area"
2010,96274,"Rome, GA Metro Area"
2010,107638,"Roseburg, OR Micro Area"
2010,65779,"Roswell, NM Micro Area"
2010,84073,"Russellville, AR Micro Area"
2010,2154391,"Sacramento--Arden-Arcade--Roseville, CA Metro Area"
2010,199911,"Saginaw-Saginaw Township North, MI Metro Area"
2010,189284,"St. Cloud, MN Metro Area"
2010,138451,"St. George, UT Metro Area"
2010,129678,"St. Joseph, MO-KS Metro Area"
2010,2815168,"St. Louis, MO-IL Metro Area"
2010,391721,"Salem, OR Metro Area"
2010,416682,"Salinas, CA Metro Area"
2010,125324,"Salisbury, MD Metro Area"
2010,138446,"Salisbury, NC Micro Area"
2010,1128988,"Salt Lake City, UT Metro Area"
2010,112484,"San Angelo, TX Metro Area"
2010,2157897,"San Antonio-New Braunfels, TX Metro Area"
2010,3105989,"San Diego-Carlsbad-San Marcos, CA Metro Area"
2010,77070,"Sandusky, OH Metro Area"
2010,4345320,"San Francisco-Oakland-Fremont, CA Metro Area"
2010,138101,"San Germ?n-Cabo Rojo, PR Metro Area"
2010,1843255,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"
2010,2476268,"San Juan-Caguas-Guaynabo, PR Metro Area"
2010,270113,"San Luis Obispo-Paso Robles, CA Metro Area"
2010,424712,"Santa Barbara-Santa Maria-Goleta, CA Metro Area"
2010,263054,"Santa Cruz-Watsonville, CA Metro Area"
2010,144606,"Santa Fe, NM Metro Area"
2010,485120,"Santa Rosa-Petaluma, CA Metro Area"
2010,348689,"Savannah, GA Metro Area"
2010,564446,"Scranton--Wilkes-Barre, PA Metro Area"
2010,197871,"Seaford, DE Micro Area"
2010,77350,"Searcy, AR Micro Area"
2010,3449059,"Seattle-Tacoma-Bellevue, WA Metro Area"
2010,138268,"Sebastian-Vero Beach, FL Metro Area"
2010,98700,"Sebring, FL Micro Area"
2010,74359,"Seneca, SC Micro Area"
2010,90072,"Sevierville, TN Micro Area"
2010,69608,"Shawnee, OK Micro Area"
2010,115472,"Sheboygan, WI Metro Area"
2010,98050,"Shelby, NC Micro Area"
2010,121145,"Sherman-Denison, TX Metro Area"
2010,107551,"Show Low, AZ Micro Area"
2010,399799,"Shreveport-Bossier City, LA Metro Area"
2010,131789,"Sierra Vista-Douglas, AZ Micro Area"
2010,143882,"Sioux City, IA-NE-SD Metro Area"
2010,229360,"Sioux Falls, SD Metro Area"
2010,77626,"Somerset, PA Micro Area"
2010,319157,"South Bend-Mishawaka, IN-MI Metro Area"
2010,88569,"Southern Pines-Pinehurst, NC Micro Area"
2010,284713,"Spartanburg, SC Metro Area"
2010,472147,"Spokane, WA Metro Area"
2010,210390,"Springfield, IL Metro Area"
2010,693141,"Springfield, MA Metro Area"
2010,435175,"Springfield, MO Metro Area"
2010,138193,"Springfield, OH Metro Area"
2010,154127,"State College, PA Metro Area"
2010,70729,"Statesboro, GA Micro Area"
2010,159771,"Statesville-Mooresville, NC Micro Area"
2010,117653,"Staunton-Waynesboro, VA Micro Area"
2010,124257,"Steubenville-Weirton, OH-WV Metro Area"
2010,70053,"Stevens Point, WI Micro Area"
2010,77448,"Stillwater, OK Micro Area"
2010,687744,"Stockton, CA Metro Area"
2010,107570,"Sumter, SC Metro Area"
2010,94366,"Sunbury, PA Micro Area"
2010,662757,"Syracuse, NY Metro Area"
2010,82110,"Talladega-Sylacauga, AL Micro Area"
2010,368117,"Tallahassee, FL Metro Area"
2010,2789116,"Tampa-St. Petersburg-Clearwater, FL Metro Area"
2010,173087,"Terre Haute, IN Metro Area"
2010,136252,"Texarkana, TX-Texarkana, AR Metro Area"
2010,94074,"The Villages, FL Micro Area"
2010,162930,"Thomasville-Lexington, NC Micro Area"
2010,651020,"Toledo, OH Metro Area"
2010,236290,"Topeka, KS Metro Area"
2010,189840,"Torrington, CT Micro Area"
2010,145797,"Traverse City, MI Micro Area"
2010,366789,"Trenton-Ewing, NJ Metro Area"
2010,98794,"Truckee-Grass Valley, CA Micro Area"
2010,982154,"Tucson, AZ Metro Area"
2010,100447,"Tullahoma, TN Micro Area"
2010,939345,"Tulsa, OK Metro Area"
2010,136473,"Tupelo, MS Micro Area"
2010,219785,"Tuscaloosa, AL Metro Area"
2010,99986,"Twin Falls, ID Micro Area"
2010,210512,"Tyler, TX Metro Area"
2010,87828,"Ukiah, CA Micro Area"
2010,299347,"Utica-Rome, NY Metro Area"
2010,137657,"Valdosta, GA Metro Area"
2010,414305,"Vallejo-Fairfield, CA Metro Area"
2010,115396,"Victoria, TX Metro Area"
2010,157149,"Vineland-Millville-Bridgeton, NJ Metro Area"
2010,1675343,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
2010,443688,"Visalia-Porterville, CA Metro Area"
2010,236028,"Waco, TX Metro Area"
2010,140713,"Warner Robins, GA Metro Area"
2010,77368,"Warsaw, IN Micro Area"
2010,5610082,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
2010,165095,"Waterloo-Cedar Falls, IA Metro Area"
2010,83693,"Watertown-Fort Atkinson, WI Micro Area"
2010,116582,"Watertown-Fort Drum, NY Micro Area"
2010,134104,"Wausau, WI Metro Area"
2010,111324,"Wenatchee-East Wenatchee, WA Metro Area"
2010,147854,"Wheeling, WV-OH Metro Area"
2010,102205,"Whitewater, WI Micro Area"
2010,622367,"Wichita, KS Metro Area"
2010,152209,"Wichita Falls, TX Metro Area"
2010,116143,"Williamsport, PA Metro Area"
2010,118519,"Willimantic, CT Micro Area"
2010,363766,"Wilmington, NC Metro Area"
2010,81359,"Wilson, NC Micro Area"
2010,128757,"Winchester, VA-WV Metro Area"
2010,478432,"Winston-Salem, NC Metro Area"
2010,114505,"Wooster, OH Micro Area"
2010,799553,"Worcester, MA Metro Area"
2010,244485,"Yakima, WA Metro Area"
2010,107214,"Yauco, PR Metro Area"
2010,435490,"York-Hanover, PA Metro Area"
2010,564804,"Youngstown-Warren-Boardman, OH-PA Metro Area"
2010,167194,"Yuba City, CA Metro Area"
2010,196509,"Yuma, AZ Metro Area"
2010,86142,"Zanesville, OH Micro Area"
2011,72546,"Aberdeen, WA Micro Area"
2011,165858,"Abilene, TX Metro Area"
2011,99440,"Adrian, MI Micro Area"
2011,304633,"Aguadilla-Isabela-San Sebasti?n, PR Metro Area"
2011,701456,"Akron, OH Metro Area"
2011,65703,"Alamogordo, NM Micro Area"
2011,161617,"Albany, GA Metro Area"
2011,118122,"Albany-Lebanon, OR Micro Area"
2011,871478,"Albany-Schenectady-Troy, NY Metro Area"
2011,94166,"Albertville, AL Micro Area"
2011,899149,"Albuquerque, NM Metro Area"
2011,154505,"Alexandria, LA Metro Area"
2011,111234,"Allegan, MI Micro Area"
2011,824916,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
2011,127099,"Altoona, PA Metro Area"
2011,254635,"Amarillo, TX Metro Area"
2011,89663,"Ames, IA Metro Area"
2011,387516,"Anchorage, AK Metro Area"
2011,131235,"Anderson, IN Metro Area"
2011,188488,"Anderson, SC Metro Area"
2011,347962,"Ann Arbor, MI Metro Area"
2011,117797,"Anniston-Oxford, AL Metro Area"
2011,227403,"Appleton, WI Metro Area"
2011,428906,"Asheville, NC Metro Area"
2011,101345,"Ashtabula, OH Micro Area"
2011,78826,"Athens, TX Micro Area"
2011,193317,"Athens-Clarke County, GA Metro Area"
2011,5365726,"Atlanta-Sandy Springs-Marietta, GA Metro Area"
2011,274338,"Atlantic City-Hammonton, NJ Metro Area"
2011,79738,"Auburn, NY Micro Area"
2011,143468,"Auburn-Opelika, AL Metro Area"
2011,560467,"Augusta-Richmond County, GA-SC Metro Area"
2011,121935,"Augusta-Waterville, ME Micro Area"
2011,1783519,"Austin-Round Rock-San Marcos, TX Metro Area"
2011,851710,"Bakersfield-Delano, CA Metro Area"
2011,2729110,"Baltimore-Towson, MD Metro Area"
2011,153786,"Bangor, ME Metro Area"
