1date,RPPALL10500, RPPALL10540, RPPALL10580, RPPALL10740, RPPALL10900, RPPALL11460, RPPALL11500, RPPALL11700, RPPALL12020, RPPALL12060, RPPALL12100, RPPALL12260, RPPALL12420, RPPALL12540, RPPALL12700, RPPALL12940, RPPALL12980, RPPALL13020, RPPALL13220, RPPALL13380, RPPALL13460, RPPALL13780, RPPALL13900, RPPALL14020, RPPALL14260, RPPALL14460, RPPALL14540, RPPALL14740, RPPALL15260, RPPALL15380, RPPALL15500, RPPALL15680, RPPALL16020, RPPALL16620, RPPALL16700, RPPALL16740, RPPALL16860, RPPALL16980, RPPALL17020, RPPALL17140, RPPALL17420, RPPALL17460, RPPALL17660, RPPALL17780, RPPALL17820, RPPALL17860, RPPALL17980, RPPALL18020, RPPALL18140, RPPALL18580, RPPALL18700, RPPALL18880, RPPALL19060, RPPALL19100, RPPALL19140, RPPALL19180, RPPALL19300, RPPALL19380, RPPALL19460, RPPALL19500, RPPALL19660, RPPALL19740, RPPALL19780, RPPALL19820, RPPALL20020, RPPALL20100, RPPALL20220, RPPALL20700, RPPALL20740, RPPALL20940, RPPALL21060, RPPALL21140, RPPALL21340, RPPALL21500, RPPALL21660, RPPALL21780, RPPALL21820, RPPALL22020, RPPALL22380, RPPALL22420, RPPALL22520, RPPALL22540, RPPALL22660, RPPALL22900, RPPALL23060, RPPALL23420, RPPALL23460, RPPALL23540, RPPALL23580, RPPALL23900, RPPALL24020, RPPALL24220, RPPALL24260, RPPALL24300, RPPALL24340, RPPALL24420, RPPALL24500, RPPALL24540, RPPALL24580, RPPALL24660, RPPALL24780, RPPALL24860, RPPALL25060, RPPALL25180, RPPALL25220, RPPALL25260, RPPALL25420, RPPALL25500, RPPALL25540, RPPALL25620, RPPALL25860, RPPALL25940, RPPALL25980, RPPALL26140, RPPALL26300, RPPALL26380, RPPALL26420, RPPALL26580, RPPALL26620, RPPALL26820, RPPALL26900, RPPALL26980, RPPALL27060, RPPALL27100, RPPALL27140, RPPALL27180, RPPALL27260, RPPALL27340, RPPALL27500, RPPALL27620, RPPALL27740, RPPALL27780, RPPALL27860, RPPALL27900, RPPALL27980, RPPALL28020, RPPALL28100, RPPALL28140, RPPALL28420, RPPALL28660, RPPALL28700, RPPALL28740, RPPALL28940, RPPALL29020, RPPALL29100, RPPALL29180, RPPALL29200, RPPALL29340, RPPALL29420, RPPALL29460, RPPALL29540, RPPALL29620, RPPALL29700, RPPALL29740, RPPALL29820, RPPALL29940, RPPALL30020, RPPALL30140, RPPALL30300, RPPALL30340, RPPALL30460, RPPALL30620, RPPALL30700, RPPALL30780, RPPALL30860, RPPALL30980, RPPALL31020, RPPALL31080, RPPALL31140, RPPALL31180, RPPALL31340, RPPALL31420, RPPALL31460, RPPALL31540, RPPALL31700, RPPALL31740, RPPALL31860, RPPALL31900, RPPALL32580, RPPALL32780, RPPALL32820, RPPALL32900, RPPALL33100, RPPALL33140, RPPALL33220, RPPALL33260, RPPALL33340, RPPALL33460, RPPALL33540, RPPALL33660, RPPALL33700, RPPALL33740, RPPALL33780, RPPALL33860, RPPALL34060, RPPALL34100, RPPALL34580, RPPALL34620, RPPALL34740, RPPALL34820, RPPALL34900, RPPALL34940, RPPALL34980, RPPALL35100, RPPALL35300, RPPALL35380, RPPALL35620, RPPALL35660, RPPALL35840, RPPALL35980, RPPALL36100, RPPALL36140, RPPALL36220, RPPALL36260, RPPALL36420, RPPALL36500, RPPALL36540, RPPALL36740, RPPALL36780, RPPALL36980, RPPALL37100, RPPALL37340, RPPALL37460, RPPALL37620, RPPALL37860, RPPALL37900, RPPALL37980, RPPALL38060, RPPALL38220, RPPALL38300, RPPALL38340, RPPALL38540, RPPALL38860, RPPALL38900, RPPALL38940, RPPALL39140, RPPALL39300, RPPALL39340, RPPALL39380, RPPALL39460, RPPALL39540, RPPALL39580, RPPALL39660, RPPALL39740, RPPALL39820, RPPALL39900, RPPALL40060, RPPALL40140, RPPALL40220, RPPALL40340, RPPALL40380, RPPALL40420, RPPALL40580, RPPALL40660, RPPALL40900, RPPALL40980, RPPALL41060, RPPALL41100, RPPALL41140, RPPALL41180, RPPALL41420, RPPALL41500, RPPALL41540, RPPALL41620, RPPALL41660, RPPALL41700, RPPALL41740, RPPALL41860, RPPALL41940, RPPALL42020, RPPALL42100, RPPALL42140, RPPALL42200, RPPALL42220, RPPALL42340, RPPALL42540, RPPALL42660, RPPALL42680, RPPALL42700, RPPALL43100, RPPALL43300, RPPALL43340, RPPALL43420, RPPALL43580, RPPALL43620, RPPALL43780, RPPALL43900, RPPALL44060, RPPALL44100, RPPALL44140, RPPALL44180, RPPALL44220, RPPALL44300, RPPALL44420, RPPALL44700, RPPALL44940, RPPALL45060, RPPALL45220, RPPALL45300, RPPALL45460, RPPALL45500, RPPALL45540, RPPALL45780, RPPALL45820, RPPALL45940, RPPALL46060, RPPALL46140, RPPALL46220, RPPALL46340, RPPALL46520, RPPALL46540, RPPALL46660, RPPALL46700, RPPALL47020, RPPALL47220, RPPALL47260, RPPALL47300, RPPALL47380, RPPALL47460, RPPALL47580, RPPALL47900, RPPALL47940, RPPALL48060, RPPALL48140, RPPALL48260, RPPALL48300, RPPALL48540, RPPALL48620, RPPALL48660, RPPALL48700, RPPALL48900, RPPALL49020, RPPALL49180, RPPALL49340, RPPALL49420, RPPALL49620, RPPALL49660, RPPALL49700, RPPALL49740
"a, avg",lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin,lin
1/1/2008,"Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted","Index, Not Seasonally Adjusted"
3/17/2022,"Albany, GA ","Albany, OR ","Albany-Schenectady-Troy, NY ","Albuquerque, NM ","Allentown-Bethlehem-Easton, PA-NJ ","Ann Arbor, MI ","Anniston-Oxford-Jacksonville, AL ","Asheville, NC ","Athens-Clarke County, GA ","Atlanta-Sandy Springs-Roswell, GA ","Atlantic City-Hammonton, NJ ","Augusta-Richmond County, GA-SC ","Austin-Round Rock, TX ","Bakersfield, CA ","Barnstable Town, MA ","Baton Rouge, LA ","Battle Creek, MI ","Bay City, MI ","Beckley, WV ","Bellingham, WA ","Bend-Redmond, OR ","Binghamton, NY ","Bismarck, ND ","Bloomington, IN ","Boise City, ID ","Boston-Cambridge-Newton, MA-NH ","Bowling Green, KY ","Bremerton-Silverdale, WA ","Brunswick, GA ","Buffalo-Cheektowaga-Niagara Falls, NY ","Burlington, NC ","California-Lexington Park, MD ","Cape Girardeau, MO-IL ","Charleston, WV ","Charleston-North Charleston, SC ","Charlotte-Concord-Gastonia, NC-SC ","Chattanooga, TN-GA ","Chicago-Naperville-Elgin, IL-IN-WI ","Chico, CA ","Cincinnati, OH-KY-IN ","Cleveland, TN ","Cleveland-Elyria, OH ","Coeur d'Alene, ID ","College Station-Bryan, TX ","Colorado Springs, CO ","Columbia, MO ","Columbus, GA-AL ","Columbus, IN ","Columbus, OH ","Corpus Christi, TX ","Corvallis, OR ","Crestview-Fort Walton Beach-Destin, FL ","Cumberland, MD-WV ","Dallas-Fort Worth-Arlington, TX ","Dalton, GA ","Danville, IL ","Daphne-Fairhope-Foley, AL ","Dayton, OH ","Decatur, AL ","Decatur, IL ","Deltona-Daytona Beach-Ormond Beach, FL ","Denver-Aurora-Lakewood, CO ","Des Moines-West Des Moines, IA ","Detroit-Warren-Dearborn, MI ","Dothan, AL ","Dover, DE ","Dubuque, IA ","East Stroudsburg, PA ","Eau Claire, WI ","El Centro, CA ","Elizabethtown-Fort Knox, KY ","Elkhart-Goshen, IN ","El Paso, TX ","Erie, PA ","Eugene, OR ","Evansville, IN-KY ","Fairbanks, AK ","Fargo, ND-MN ","Flagstaff, AZ ","Flint, MI ","Florence-Muscle Shoals, AL ","Fond du Lac, WI ","Fort Collins, CO ","Fort Smith, AR-OK ","Fort Wayne, IN ","Fresno, CA ","Gadsden, AL ","Gainesville, FL ","Gainesville, GA ","Gettysburg, PA ","Glens Falls, NY ","Grand Forks, ND-MN ","Grand Island, NE ","Grand Junction, CO ","Grand Rapids-Wyoming, MI ","Grants Pass, OR ","Great Falls, MT ","Greeley, CO ","Green Bay, WI ","Greensboro-High Point, NC ","Greenville, NC ","Greenville-Anderson-Mauldin, SC ","Gulfport-Biloxi-Pascagoula, MS ","Hagerstown-Martinsburg, MD-WV ","Hammond, LA ","Hanford-Corcoran, CA ","Harrisburg-Carlisle, PA ","Harrisonburg, VA ","Hartford-West Hartford-East Hartford, CT ","Hattiesburg, MS ","Hickory-Lenoir-Morganton, NC ","Hilton Head Island-Bluffton-Beaufort, SC ","Hinesville, GA ","Homosassa Springs, FL ","Hot Springs, AR ","Houma-Thibodaux, LA ","Houston-The Woodlands-Sugar Land, TX ","Huntington-Ashland, WV-KY-OH ","Huntsville, AL ","Idaho Falls, ID ","Indianapolis-Carmel-Anderson, IN ","Iowa City, IA ","Ithaca, NY ","Jackson, MI ","Jackson, MS ","Jackson, TN ","Jacksonville, FL ","Jacksonville, NC ","Janesville-Beloit, WI ","Jefferson City, MO ","Johnson City, TN ","Johnstown, PA ","Jonesboro, AR ","Joplin, MO ","Kahului-Wailuku-Lahaina, HI ","Kalamazoo-Portage, MI ","Kankakee, IL ","Kansas City, MO-KS ","Kennewick-Richland, WA ","Killeen-Temple, TX ","Kingsport-Bristol-Bristol, TN-VA ","Kingston, NY ","Knoxville, TN ","Kokomo, IN ","La Crosse-Onalaska, WI-MN ","Lafayette, LA ","Lafayette-West Lafayette, IN ","Lake Charles, LA ","Lake Havasu City-Kingman, AZ ","Lakeland-Winter Haven, FL ","Lancaster, PA ","Lansing-East Lansing, MI ","Laredo, TX ","Las Cruces, NM ","Las Vegas-Henderson-Paradise, NV ","Lawrence, KS ","Lawton, OK ","Lebanon, PA ","Lewiston, ID-WA ","Lewiston-Auburn, ME ","Lexington-Fayette, KY ","Lima, OH ","Lincoln, NE ","Little Rock-North Little Rock-Conway, AR ","Logan, UT-ID ","Longview, TX ","Longview, WA ","Los Angeles-Long Beach-Anaheim, CA ","Louisville/Jefferson County, KY-IN ","Lubbock, TX ","Lynchburg, VA ","Macon, GA ","Madera, CA ","Madison, WI ","Manchester-Nashua, NH ","Manhattan, KS ","Mankato-North Mankato, MN ","Mansfield, OH ","McAllen-Edinburg-Mission, TX ","Medford, OR ","Memphis, TN-MS-AR ","Merced, CA ","Miami-Fort Lauderdale-West Palm Beach, FL ","Michigan City-La Porte, IN ","Midland, MI ","Midland, TX ","Milwaukee-Waukesha-West Allis, WI ","Minneapolis-St. Paul-Bloomington, MN-WI ","Missoula, MT ","Mobile, AL ","Modesto, CA ","Monroe, LA ","Monroe, MI ","Montgomery, AL ","Morgantown, WV ","Morristown, TN ","Mount Vernon-Anacortes, WA ","Muncie, IN ","Muskegon, MI ","Myrtle Beach-Conway-North Myrtle Beach, SC-NC ","Napa, CA ","Naples-Immokalee-Marco Island, FL ","Nashville-Davidson--Murfreesboro--Franklin, TN ","New Bern, NC ","New Haven-Milford, CT ","New Orleans-Metairie, LA ","New York-Newark-Jersey City, NY-NJ-PA ","Niles-Benton Harbor, MI ","North Port-Sarasota-Bradenton, FL ","Norwich-New London, CT ","Ocala, FL ","Ocean City, NJ ","Odessa, TX ","Ogden-Clearfield, UT ","Oklahoma City, OK ","Olympia-Tumwater, WA ","Omaha-Council Bluffs, NE-IA ","Orlando-Kissimmee-Sanford, FL ","Oshkosh-Neenah, WI ","Owensboro, KY ","Oxnard-Thousand Oaks-Ventura, CA ","Palm Bay-Melbourne-Titusville, FL ","Panama City, FL ","Parkersburg-Vienna, WV ","Pensacola-Ferry Pass-Brent, FL ","Peoria, IL ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ","Phoenix-Mesa-Scottsdale, AZ ","Pine Bluff, AR ","Pittsburgh, PA ","Pittsfield, MA ","Pocatello, ID ","Portland-South Portland, ME ","Portland-Vancouver-Hillsboro, OR-WA ","Port St. Lucie, FL ","Prescott, AZ ","Providence-Warwick, RI-MA ","Provo-Orem, UT ","Pueblo, CO ","Punta Gorda, FL ","Racine, WI ","Raleigh, NC ","Rapid City, SD ","Reading, PA ","Redding, CA ","Reno, NV ","Richmond, VA ","Riverside-San Bernardino-Ontario, CA ","Roanoke, VA ","Rochester, MN ","Rochester, NY ","Rockford, IL ","Rocky Mount, NC ","Rome, GA ","Sacramento--Roseville--Arden-Arcade, CA ","Saginaw, MI ","St. Cloud, MN ","St. George, UT ","St. Joseph, MO-KS ","St. Louis, MO-IL ","Salem, OR ","Salinas, CA ","Salisbury, MD-DE ","Salt Lake City, UT ","San Angelo, TX ","San Antonio-New Braunfels, TX ","San Diego-Carlsbad, CA ","San Francisco-Oakland-Hayward, CA ","San Jose-Sunnyvale-Santa Clara, CA ","San Luis Obispo-Paso Robles-Arroyo Grande, CA ","Santa Cruz-Watsonville, CA ","Santa Fe, NM ","Santa Maria-Santa Barbara, CA ","Santa Rosa, CA ","Savannah, GA ","Scranton--Wilkes-Barre--Hazleton, PA ","Seattle-Tacoma-Bellevue, WA ","Sebastian-Vero Beach, FL ","Sebring, FL ","Sheboygan, WI ","Sherman-Denison, TX ","Shreveport-Bossier City, LA ","Sierra Vista-Douglas, AZ ","Sioux City, IA-NE-SD ","Sioux Falls, SD ","South Bend-Mishawaka, IN-MI ","Spartanburg, SC ","Spokane-Spokane Valley, WA ","Springfield, IL ","Springfield, MA ","Springfield, MO ","Springfield, OH ","State College, PA ","Staunton-Waynesboro, VA ","Stockton-Lodi, CA ","Sumter, SC ","Syracuse, NY ","Tallahassee, FL ","Tampa-St. Petersburg-Clearwater, FL ","Terre Haute, IN ","Texarkana, TX-AR ","The Villages, FL ","Toledo, OH ","Topeka, KS ","Trenton, NJ ","Tucson, AZ ","Tulsa, OK ","Tuscaloosa, AL ","Tyler, TX ","Urban Honolulu, HI ","Utica-Rome, NY ","Valdosta, GA ","Vallejo-Fairfield, CA ","Victoria, TX ","Vineland-Bridgeton, NJ ","Virginia Beach-Norfolk-Newport News, VA-NC ","Visalia-Porterville, CA ","Waco, TX ","Walla Walla, WA ","Warner Robins, GA ","Washington-Arlington-Alexandria, DC-VA-MD-WV ","Waterloo-Cedar Falls, IA ","Watertown-Fort Drum, NY ","Wausau, WI ","Weirton-Steubenville, WV-OH ","Wenatchee, WA ","Wheeling, WV-OH ","Wichita, KS ","Wichita Falls, TX ","Williamsport, PA ","Wilmington, NC ","Winchester, VA-WV ","Winston-Salem, NC ","Worcester, MA-CT ","Yakima, WA ","York-Hanover, PA ","Youngstown-Warren-Boardman, OH-PA ","Yuba City, CA ","Yuma, AZ "
