DATE,LA,SEA,DEN,AUS,DC,DET,PHX,MIN,BOS,MIA,NY,CHI,ATL,LV
1/1/1987,59.42622437,58.88527447,50.34801697,46.95579249,64.41021506,58.42080558,67.56786236,63.49280289,70.2669731,68.5479048,74.67844016,54.20647876,69.61946151,66.41896597
2/1/1987,59.89486089,60.96188308,50.16046814,47.3026748,65.13233062,58.1321228,67.621025,63.15240708,70.64067798,68.91911889,76.043687,55.22727414,69.46966205,67.57419833
3/1/1987,60.4010732,62.9529798,50.38347786,47.84021293,65.99785281,58.15397229,67.92398633,62.69347204,71.0467735,69.38805199,77.23707531,54.8110341,69.32466163,67.85013171
4/1/1987,61.3243337,65.45715558,50.74462754,47.9840577,66.6387343,58.21509351,67.96501645,63.08319926,71.41157143,69.4634609,78.28152688,54.80194738,69.71866434,68.1860642
5/1/1987,62.03091455,66.55340782,50.76353788,48.30506513,67.44472563,58.51359013,68.06856716,63.18428985,71.88271079,69.74628226,79.67533059,55.47746617,69.79697026,67.92709116
6/1/1987,62.77656363,67.42345141,50.43233495,48.60578686,68.51692345,58.80550681,67.69591389,63.74282125,72.29593184,69.47376119,80.83980159,56.0597667,70.05309181,66.79939446
7/1/1987,63.45610947,67.57793958,50.20394289,49.08456578,69.38716532,59.04030805,67.34046047,63.5562289,72.62096441,69.64166739,81.69506699,57.10936653,69.91454873,65.7629411
8/1/1987,64.13062268,67.85311365,50.12122158,49.54259201,70.25445289,59.19473338,66.94764414,63.79845606,73.16291582,69.80472055,82.22005796,57.6122094,70.0881407,65.03197679
9/1/1987,64.89362702,67.51137156,50.05828124,50.24128781,71.39573364,59.29101742,66.82268149,63.89329871,73.74881285,70.56775967,82.38397595,58.270368,70.04012176,65.2769414
10/1/1987,65.7716042,67.2547069,50.14607871,50.99269818,72.31810419,59.54029145,66.56019229,64.12099238,74.00660074,71.02023013,83.1564061,59.00637888,70.14200741,65.5117159
11/1/1987,66.71255379,66.93175523,49.73360057,51.64113056,73.15863879,59.62944824,66.49372032,64.39544264,74.4180682,71.4249393,83.67733133,59.71248845,70.12024452,66.53024198
12/1/1987,67.77770123,66.77373145,49.85495549,52.22911058,73.585563,59.75632243,66.50108824,64.38609936,74.57960221,71.4584372,84.50134781,61.075388,70.00910712,66.49194679
1/1/1988,68.77691349,66.2568352,49.55073719,52.70283616,74.40191448,59.74894727,66.57970805,64.22486443,74.6612365,71.67894585,84.32173034,61.97243658,70.06784419,66.69670303
2/1/1988,69.71097325,65.60930243,49.49475181,53.19983707,75.28798342,59.8442699,66.70474738,64.00564204,74.58935017,71.82796854,84.49117859,63.44648492,70.17273693,66.42737553
3/1/1988,70.69917921,65.13151075,49.06129708,53.86620971,76.39474559,60.07654634,66.63999939,64.22549797,74.47783864,72.34556591,84.47672472,64.50860575,70.22618007,66.7614815
4/1/1988,71.48428324,65.45156863,48.73980965,54.53404719,77.30187403,60.53263697,66.78014874,64.47109758,74.52675221,72.71877391,84.69031883,65.15143328,70.21826744,67.43481473
5/1/1988,72.47708784,65.75131113,48.34998174,56.06737674,78.37985044,60.77758746,66.5935088,64.59983549,74.81244784,73.10256209,84.76242708,65.57198553,70.38957256,67.58341088
