DATE,LA_Any,LA_Single,STL_Any,STL_Single,SEA_Any,SEA_Single,DEN_Any,DEN_Single,AUS_Any,AUS_Single,SLC_Any,SLC_Single,DC_Any,DC_Single,MEM_Any,MEM_Single,PHX_Any,PHX_Single,CHA_Any,CHA_Single,DET_Any,DET_Single,MIN_Any,MIN_Single,IND_Any,IND_Single,BOS_Any,BOS_Single,MIA_Any,MIA_Single,PHI_Any,PHI_Single,SF_Any,SF_Single,NY_Any,NY_Single,CHI_Any,CHI_Single,HOU_Any,HOU_Single,ATL_Any,ATL_Single,JAC_Any,JAC_Single,KC_Any,KC_Single,LV_Any,LV_Single
1/1/1988,5367.146361,2165.524898,929.3672272,813.3841739,2576.441411,981.9777653,505.3843479,273.5803032,211.9533025,192.1066356,240.9794468,264.3341692,2022.869638,1690.210638,308.722203,287.0713335,1360.286274,1215.529879,330.0916603,436.7770936,1266.918663,884.8910172,1694.595348,732.0628526,335.5045074,331.6497401,1096.428997,595.6258171,2517.417818,1128.330862,1795.198341,1593.715707,777.0562493,517.9957984,3908.173166,2345.482631,2649.20136,1729.059461,523.2753004,449.4577955,2411.667734,1628.338761,836.7648939,691.9375033,673.4370477,410.564884,1171.107201,679.3876599
2/1/1988,6693.87874,2443.970634,1450.683714,977.5354181,2105.592686,1047.44067,803.0592353,293.2737765,337.9783852,184.0077026,333.2579441,309.1588927,4110.558107,2387.00425,894.6176616,495.9433054,1389.035609,1327.95302,1033.987048,761.4257903,1503.607929,926.6157424,1665.524943,976.941395,618.2275182,491.0795642,1072.311725,616.7828506,3098.664565,1164.848776,2385.322506,1853.023209,1459.514112,765.7927062,3494.964667,2527.149624,2073.037956,1802.41007,555.4047858,531.5119806,4054.816647,2837.414061,776.5166286,635.7436813,888.1042003,581.6692438,2144.249545,772.1707684
3/1/1988,5621.122153,2237.230634,1109.524614,895.5512286,2186.739643,1087.568671,428.0017961,339.6049564,179.4526083,171.0192081,284.9344129,292.4882755,3559.037322,2469.904043,539.3872011,505.7391132,1787.061539,1321.261738,1486.923957,687.8126684,2021.307222,1176.07452,1699.956838,1284.927067,665.5743137,538.121311,1466.631122,913.264336,2979.92525,1245.882238,3583.615031,2344.231642,1227.020623,761.9441672,4982.342801,3368.915182,3440.425831,2282.980917,734.7670093,554.6045964,4315.663412,2753.287708,1014.882257,620.7657341,944.9214978,723.698901,2301.09865,723.6171406
4/1/1988,6687.380481,2255.551303,1154.490916,819.9397016,2412.406701,1059.979747,518.3575574,330.6059994,162.3944238,156.944867,278.3224853,279.527514,3667.235264,2433.973434,592.3098064,503.1386197,2584.086045,1288.066254,1100.475736,636.0761278,1789.937316,1124.216135,2064.043576,1150.693249,840.173552,568.8260913,1020.938532,558.3435631,2069.912204,1193.512401,2470.142587,1769.962169,1574.188346,1092.144913,4796.389267,2478.218853,3102.197314,2321.057357,714.2119519,541.0417765,4156.160321,2424.371294,663.1667483,581.3754516,1103.987733,606.6401972,2047.488856,749.3812463
5/1/1988,6314.069207,2763.949283,1228.164235,866.2054233,2112.2967,1092.819297,437.9984254,329.1259336,144.7189063,146.2231821,311.6365663,289.3790194,2863.633426,2294.079709,765.2862731,437.8814366,1747.227011,1293.986601,1044.607496,646.8497938,2089.645185,1161.336114,1905.881816,1198.275345,705.5753544,537.9528634,944.363615,548.7117789,2139.280422,1161.562371,1915.040745,1747.516845,1421.784623,861.5389994,4158.004181,2479.591119,3201.165964,2280.669547,743.8851192,641.8506004,4059.747804,2526.13697,689.2682137,578.6825028,873.8977369,639.9550399,2902.925553,841.9615375
6/1/1988,5578.283608,2820.902598,1189.24377,910.859261,1574.747368,971.4634013,503.2920456,360.8608785,170.188952,158.2999516,370.4242089,310.696774,3061.141252,2259.514588,734.2429005,492.0752553,2103.752443,1283.170411,1290.771135,747.2755336,2338.083899,1090.902802,1668.122917,1238.030925,698.8674719,555.6755404,1032.041334,503.5645732,3031.844068,1262.54919,2621.50729,2011.720296,1935.248447,1314.353577,4167.653888,2684.232426,3614.393337,2491.762381,717.2749109,683.9414922,4304.264391,2695.089229,1103.130243,612.7372907,978.2714164,750.9340891,1114.455514,535.4255889
7/1/1988,4853.750588,1406.821805,899.776767,784.5834142,2999.556305,1048.87935,397.4094701,359.8205589,166.9551759,166.3785778,285.4333382,266.2542017,3520.95397,2509.392042,791.9723141,433.5447624,1460.345642,1175.524387,1325.273735,642.9724245,1654.539686,966.42593,1504.516705,1057.359166,626.29804,498.9781579,799.4169905,540.6772096,2024.176374,1052.725982,1869.754849,1753.848435,1868.309349,1234.609096,3865.350229,2518.955681,3419.980454,2442.409718,865.9682628,734.3797262,3511.984451,2462.021904,694.0558179,599.9058888,666.2756552,575.8677461,1507.873878,699.9559284
8/1/1988,6783.747418,2675.11646,1057.896388,842.2758495,2965.423339,1156.813278,550.8958201,348.2642675,173.7792643,166.554087,308.7091573,290.8011337,3456.6815,2878.290845,323.2078067,398.818009,1989.507465,1270.57333,982.825782,739.3594277,1785.423689,1129.944757,1721.21287,1162.835346,627.8887166,480.0235181,749.8170555,495.3925373,3157.080269,1457.415958,2523.929334,2060.80598,2085.696163,1284.675304,3295.676676,2298.842685,3291.935318,2437.612367,709.4634055,707.0993069,3539.41644,2398.920439,706.5821091,604.7003668,835.5041604,588.2654771,2683.610926,793.6337546
9/1/1988,5280.324561,1452.415043,1189.257017,939.1774154,3920.985877,1133.951064,421.1700051,359.4168888,246.8613713,155.2596824,310.3257296,276.9909345,3472.086921,2550.975928,875.9055038,430.7862533,1511.683426,1135.806798,1134.41175,776.1487863,1499.483723,1101.466765,1401.824704,1160.021252,739.547901,533.8006594,851.7450699,502.5061575,2562.226634,1369.470506,2164.240146,1968.275879,1314.05699,1088.850738,3674.36171,2474.708634,3377.73604,2460.212611,814.0864138,794.6504995,2893.787067,2101.124209,995.1544715,587.8958874,1157.171174,577.1740757,2970.470465,1434.946966
10/1/1988,6212.691191,2314.862099,1034.422659,790.5404796,2514.921472,1150.812503,554.398586,339.1308135,196.3033047,203.1075615,325.6932273,286.1719318,3612.931538,2301.656052,488.512449,399.8270816,1688.690449,1141.695537,1336.989923,763.2076893,1494.056459,1067.590666,1592.458108,1103.207453,686.8796452,540.8413856,661.0756718,470.961554,3070.630021,1525.994141,2329.957779,1832.321095,2083.706074,1202.868366,3366.03639,2179.214929,3260.939943,2393.585303,697.0995243,691.57532,3766.100533,2049.040753,625.1149258,482.3158953,936.4545796,584.0195044,1747.879167,776.979068
11/1/1988,7017.983607,3422.679193,958.8130898,753.4349227,2690.020685,1322.508803,625.4075313,370.8049022,160.5353422,155.4863121,310.5537503,316.7189651,3415.186819,2581.727397,756.124931,429.2058358,1475.219871,1148.010038,1079.736905,687.0373719,1283.275892,1008.235101,1737.344165,1191.632355,587.517991,512.6948334,704.250533,457.3883569,3390.162917,1308.358242,2196.516397,1888.598046,3355.312445,1356.754884,3595.336766,2179.864802,3215.106594,2337.084167,927.0700485,882.6013918,3488.634803,2212.875555,998.3806872,623.5893558,691.325127,603.3854152,2792.063759,849.6160783
